DAT|1|1|2017
CMP|11|0|0
VOZ|ZA43211|200|0|1|1|2017
VOZ|ZA63122|200|60|1|10|2017
VOZ|ZA42642|200|60|11|3|2017
VOZ|ZA12353|200|60|5|3|2017
VOZ|ZA35632|200|70|4|8|2017
VOZ|ZA34362|200|70|15|3|2017
VOZ|ZA61521|200|70|19|4|2017
VOZ|ZA46323|200|70|12|3|2017
VOZ|ZA16321|200|70|25|2|2017
VOZ|ZA35323|200|70|3|1|2017
DOD|Vladivostok s.r.o.|Nutrinska 13, 040 18, Kosice|0
KAM|1200|0|1|1|2017
PAL|10|1|1|2|3|2017
PAL|13|5|1|3|3|2017
PAL|4|3|1|3|3|2017 
PAL|11|4|1|1|3|2017 
PAL|4|5|1|2|3|2017 
PAL|21|6|1|4|5|2017 
PAL|4|7|1|4|3|2017 
PAL|15|8|1|2|3|2017 
PAL|4|9|1|1|1|2017 
PAL|44|11|1|3|3|2017 
PAL|4|6|4|3|2|2017 
PAL|5|7|1|3|5|2017 
PAL|4|8|1|1|2|2017 
PAL|71|1|1|2|1|2017 
PAL|4|2|1|1|2|2017 
PAL|14|2|1|3|2|2017 
PAL|4|2|1|2|1|2017 
PAL|44|3|1|3|4|2017 
PAL|4|3|1|3|4|2017 
PAL|33|8|2|2|1|2017 
PAL|4|8|1|2|1|2017 
PAL|13|8|1|1|1|2017 
PAL|4|8|1|1|1|2017 
PAL|45|8|1|1|1|2017 
PAL|4|9|1|2|2|2017 
PAL|32|8|1|2|2|2017 
PAL|4|7|1|3|3|2017 
PAL|52|6|1|1|3|2017 
PAL|4|7|1|4|2|2017 
PAL|24|9|1|4|2|2017 
PAL|4|9|1|2|3|2017 
PAL|23|9|1|3|1|2017 
PAL|4|5|1|1|2|2017 
PAL|12|4|1|2|1|2017 
PAL|4|3|1|3|1|2017 
PAL|45|2|1|2|1|2017 
PAL|4|7|1|4|1|2017 
PAL|72|3|1|3|1|2017 
PAL|4|8|1|1|3|2017 
PAL|34|9|1|2|3|2017 
PAL|4|10|1|2|1|2017 
PAL|62|10|1|3|1|2017 
PAL|4|11|1|2|2|2017 
PAL|17|5|1|2|1|2017 
PAL|4|4|1|2|1|2017 
PAL|28|5|1|2|1|2017 
PAL|4|7|1|2|2|2017 
PAL|27|8|1|2|1|2017 
PAL|4|4|0|0|0|0 
PAL|26|3|0|0|0|0 
PAL|4|6|0|0|0|0 
PAL|17|2|0|0|0|0 
PAL|4|1|0|0|0|0 
PAL|26|7|0|0|0|0 
PAL|10|1|1|2|3|2017
PAL|13|5|1|3|3|2017
PAL|4|3|1|3|3|2017 
PAL|11|4|1|1|3|2017 
PAL|4|5|1|2|3|2017 
PAL|21|6|1|4|5|2017 
PAL|4|7|1|4|3|2017 
PAL|15|8|1|2|3|2017 
PAL|4|9|1|1|1|2017 
PAL|44|11|1|3|3|2017 
PAL|4|6|4|3|2|2017 
PAL|5|7|1|3|5|2017 
PAL|4|8|1|1|2|2017 
PAL|71|1|1|2|1|2017 
PAL|4|2|1|1|2|2017 
PAL|14|2|1|3|2|2017 
PAL|4|2|1|2|1|2017 
PAL|44|3|1|3|4|2017 
PAL|4|3|1|3|4|2017 
PAL|33|8|2|2|1|2017 
PAL|4|8|1|2|1|2017 
PAL|13|8|1|1|1|2017 
PAL|4|8|1|1|1|2017 
PAL|45|8|1|1|1|2017 
PAL|4|9|1|2|2|2017 
PAL|32|8|1|2|2|2017 
PAL|4|7|1|3|3|2017 
PAL|52|6|1|1|3|2017 
PAL|4|7|1|4|2|2017 
PAL|24|9|1|4|2|2017 
PAL|4|9|1|2|3|2017 
PAL|23|9|1|3|1|2017 B
PAL|4|5|1|1|2|2017 
PAL|12|4|1|2|1|2017 
